mass	pressure	temperature	radius	density	specificenergy	dm	h1	he3	he4	c12	n14	o16	ne20	mg24
1.9884105640262172e+33	916.6731493625012	19527.029522531895	69500430000.10088	1.9198955287096724e-09	1925.0136136612527	0.0	0.0	0	0.0	0	0	0	0	0
1.9884105640262172e+33	14725.64345311425	39093.19136857994	69430860000.20175	1.5405380339631456e-08	30923.851251539927	3.042285355803484e+22	2.281714016852613e+22	0	7.60571338950871e+21	0	0	0	0	0
1.9884105639957945e+33	74848.1118198276	58698.60328776425	69361290000.30261	5.214976443839959e-08	157181.03482163796	1.319570700282406e+23	9.896780252118046e+22	0	3.298926750706015e+22	0	0	0	0	0
1.9884105638638374e+33	237508.45516278205	78343.38350163212	69291720000.40349	1.239869624829574e-07	498767.75584184227	3.556160673516672e+23	2.667120505137504e+23	0	8.89040168379168e+22	0	0	0	0	0
1.9884105635082214e+33	582189.2170962025	98027.65070553026	69222150000.50436	2.4289290688718843e-07	1222597.3559020255	7.50583637383695e+23	5.629377280377712e+23	0	1.8764590934592373e+23	0	0	0	0	0
1.9884105627576378e+33	1212092.9544811244	117751.52407051009	69152580000.60524	4.2098697512971065e-07	2545395.204410361	1.36624139505828e+24	1.02468104629371e+24	0	3.4156034876457e+23	0	0	0	0	0
1.9884105613913964e+33	2254611.036368443	137515.12324521507	69083010000.70612	6.705334314115227e-07	4734683.17637373	2.2521697737645092e+24	1.689127330323382e+24	0	5.630424434411273e+23	0	0	0	0	0
1.9884105591392265e+33	3861799.4932162235	157318.5683577884	69013440000.80698	1.003942882807967e-06	8109778.935754069	3.4581490266251734e+24	2.59361176996888e+24	0	8.645372566562934e+23	0	0	0	0	0
1.9884105556810773e+33	6210862.015605427	177161.980017788	68943870000.90785	1.4337737500618586e-06	13042810.232771397	5.034160233692503e+24	3.7756201752693776e+24	0	1.2585400584231258e+24	0	0	0	0	0
1.988410550646917e+33	9504640.203041563	197045.47931809645	68874300001.00873	1.97273375316578e-06	19959744.42638728	7.030386315071269e+24	5.272789736303452e+24	0	1.7575965787678173e+24	0	0	0	0	0
